Cust Id,Country,Phone,Email,Product ID
2,Germany,+49 0711 2842222,leonekohler@surfeu.de,"prod5, prod 23"
3,Canada,+1 (514) 721-4711,ftremblay@gmail.com,
4,Norway,+47 22 44 22 22,bjorn.hansen@yahoo.no,"prod2646, prod2029, prod1253, prod595, prod6"
5,Czech Republic,+420 2 4172 5555,frantisekw@jetbrains.com,"prod2678, prod2046, prod1278, prod604, prod33"
6,Czech Republic,+420 2 4177 0449,hholy@gmail.com,"prod2703, prod2059, prod1293, prod609, prod58"
7,Austria,+43 01 5134505,astrid.gruber@apple.at,"prod2712, prod2063, prod1311, prod610, prod61"
8,Belgium,+32 02 219 03 03,daan_peeters@apple.be,"prod2714, prod2074, prod1355, prod611, prod78"
9,Denmark,+453 3331 9991,kara.nielsen@jubii.dk,"prod2725, prod2078, prod1382, prod637, prod84"
10,Brazil,+55 (11) 3033-5446,eduardo@woodstock.com.br,"prod2741, prod2118, prod1409, prod650, prod90"
11,Brazil,+55 (11) 3055-3278,alero@uol.com.br,"prod2750, prod2151, prod1414, prod667, prod109"
12,Brazil,+55 (21) 2271-7000,roberto.almeida@riotur.gov.br,"prod2789, prod2173, prod1423, prod672, prod111"
13,Brazil,+55 (61) 3363-5547,fernadaramos4@uol.com.br,"prod2790, prod2188, prod1426, prod699, prod127"
14,Canada,+1 (780) 434-4554,mphilips12@shaw.ca,"prod2799, prod2237, prod1443, prod710, prod130"
15,Canada,+1 (604) 688-2255,jenniferp@rogers.ca,"prod2802, prod2244, prod1487, prod736, prod152"
16,USA,+1 (650) 253-0000,fharris@google.com,"prod2810, prod2257, prod1488, prod756, prod157"
17,USA,+1 (425) 882-8080,jacksmith@microsoft.com,"prod2827, prod2261, prod1496, prod787, prod179"
18,USA,+1 (212) 221-3546,michelleb@aol.com,"prod2900, prod2273, prod1516, prod790, prod198"
19,USA,+1 (408) 996-1010,tgoyer@apple.com,"prod2905, prod2293, prod1557, prod797, prod206"
20,USA,+1 (650) 644-3358,dmiller@comcast.com,"prod2906, prod2308, prod1588, prod819, prod223"
